"Ticker","TickerType","Company","Traded","Transaction","Trade_Size_USD","Subholding","Description","Name","Filed","Party","District","Chamber","Comments","excess_return","State","last_modified"
"IBM","Stock","International Business Machines Corporation",2018-04-18,"Purchase","$50,001 - $100,000","","","Hoeven, John",2018-05-09,"R","","Senate","",-60.8295619884765,"North Dakota",2023-08-28
"STI","ST","SUNTRUST BANKS, INC.",2018-04-17,"Purchase","$1,001 - $15,000","MACARTHUR FAMILY 2008 IRR TR FBO DAVID MACARTHUR","","Thomas Macarthur",2018-05-10,"R"," NJ03","House","",-186.713825179783,"New Jersey",2023-11-16
"CAT","ST","CATERPILLAR, INC.",2018-04-17,"Purchase","$15,001 - $50,000","CHARLES SWABB ACCOUNT","","Bob Gibbs",2018-04-24,"R"," OH07","House","",36.9670349148412,"Ohio",2023-11-16
"JPM","ST","JP MORGAN CHASE & CO.",2018-04-17,"Sale","$100,001 - $250,000","18 - MSSB BROKERAGE ACCOUNT - IRA (AD/P)","","Bradley S. Schneider",2018-06-10,"D"," IL10","House","",-16.681830983577,"Illinois",2023-11-16
"CI","ST","CIGNA CORPORATION",2018-04-17,"Purchase","$1,001 - $15,000","MERRILL LYNCH- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2021-09-23,"D"," NY03","House","",12.5344966772435,"New York",2023-11-16
"T","ST","AT&T INC.",2018-04-17,"Sale","$1,001 - $15,000","MERRILL LYNCH- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2021-09-23,"D"," NY03","House","",-152.933481390125,"New York",2023-11-16
"BMY","ST","BRISTOL-MYERS SQUIBB COMPANY",2018-04-17,"Purchase","$1,001 - $15,000"," MERRILL LYNCH- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2022-12-19,"D"," NY03","House","",-89.4285526003565,"New York",2023-11-16
"BA","ST","BOEING COMPANY",2018-04-17,"Purchase","$15,001 - $50,000","MERRILL LYNCH- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2022-03-03,"D"," NY03","House","",-135.143943337001,"New York",2023-11-16
"STI","ST","SUNTRUST BANKS, INC.",2018-04-17,"Purchase","$1,001 - $15,000","MACARTHUR FAMILY 2008 IRR TR FBO ISABELLA MACARTHUR","","Thomas Macarthur",2018-05-10,"R"," NJ03","House","",-186.713825179783,"New Jersey",2023-11-16
"KO","ST","COCA-COLA COMPANY",2018-04-17,"Sale","$15,001 - $50,000","CHARLES SWABB ACCOUNT","","Bob Gibbs",2018-04-24,"R"," OH07","House","",-55.9297276824897,"Ohio",2023-11-16
"FDX","ST","FEDEX CORPORATION",2018-04-17,"Sale","$1,001 - $15,000","WELCH ACCOUNT","","Peter Welch",2019-05-03,"D"," VT00","House","",-88.8402828136331,"Vermont",2023-11-16
"TXN","ST","TEXAS INSTRUMENTS INCORPORATED",2018-04-17,"Sale","$1,001 - $15,000","MACARTHUR FAMILY 2008 IRR TR FBO DAVID MACARTHUR","","Thomas Macarthur",2018-05-10,"R"," NJ03","House","",-25.655442153771,"New Jersey",2023-11-16
"PGR","ST","PROGRESSIVE CORPORATION",2018-04-17,"Purchase","$100,001 - $250,000","18 - MSSB BROKERAGE ACCOUNT - IRA (AD/P)","","Bradley S. Schneider",2018-06-10,"D"," IL10","House","",139.613772604295,"Illinois",2023-11-16
"DUK","Stock","Duke Energy Corporation",2018-04-17,"Sale (Full)","$15,001 - $50,000","","","Perdue, David",2018-05-01,"R","","Senate","",-68.7025060468754,"Georgia",2023-08-28
"HSIC","ST","HENRY SCHEIN, INC.",2018-04-17,"Sale","$15,001 - $50,000","MERRILL LYNCH- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2021-09-23,"D"," NY03","House","",-84.3395150889143,"New York",2023-11-16
"NEE","ST","NEXTERA ENERGY, INC.",2018-04-17,"Sale","$1,001 - $15,000","MACARTHUR FAMILY 2008 IRR TR FBO DAVID MACARTHUR","","Thomas Macarthur",2018-05-10,"R"," NJ03","House","",-42.1153293473795,"New Jersey",2023-11-16
"DUK","ST","DUKE ENERGY CORPORATION",2018-04-16,"Purchase","$15,001 - $50,000","","","Mo Brooks",2018-05-02,"R"," AL05","House","",-69.9023580411161,"Alabama",2023-11-16
"AHT","ST","ASHFORD HOSPITALITY TRUST INC",2018-04-16,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2018-05-10,"R"," NC05","House","",-191.188024593187,"North Carolina",2023-11-16
"CXO","ST","CONCHO RESOURCES INC.",2018-04-16,"Purchase","$1,001 - $15,000","TD AMERITRADE ANN IRA","","Gary Palmer",2018-09-29,"R"," AL06","House","",-97.8620359657247,"Alabama",2023-11-16
"BLK","Stock","BlackRock, Inc.",2018-04-16,"Sale (Partial)","$15,001 - $50,000","","","Inhofe, James M.",2018-05-14,"R","","Senate","",-38.4830957367992,"Oklahoma",2023-08-28
"CXO","ST","CONCHO RESOURCES INC.",2018-04-16,"Purchase","$1,001 - $15,000","","","Gary Palmer",2018-09-29,"R"," AL06","House","",-97.8620359657247,"Alabama",2023-11-16
"USG","Stock","USG Corporation",2018-04-13,"Sale (Partial)","$1,001 - $15,000","","","Perdue, David",2018-05-01,"R","","Senate","",-128.937953629093,"Georgia",2023-08-28
"A","ST","AGILENT TECHNOLOGIES, INC.",2018-04-13,"Purchase","$1,001 - $15,000","MERRILL LYNCH INVESTMENT ACCOUNTS","","Lamar Smith",2018-05-08,"R"," TX21","House","",26.4882824438951,"Texas",2023-11-16
"DHR","ST","DANAHER CORPORATION",2018-04-13,"Sale","$1,001 - $15,000","MERRILL LYNCH INVESTMENT ACCOUNTS","TOTAL SALE","Lamar Smith",2018-05-08,"R"," TX21","House","",90.5343556454532,"Texas",2023-11-16
"SYK","ST","STRYKER CORPORATION",2018-04-13,"Purchase","$1,001 - $15,000","MERRILL LYNCH INVESTMENT ACCOUNTS","","Lamar Smith",2018-05-08,"R"," TX21","House","",29.4942883896588,"Texas",2023-11-16
"CGNT","Stock","Cogentix Medical, Inc.",2018-04-12,"Sale (Partial)","$15,001 - $50,000","","","Smith, Tina",2018-04-20,"D","","Senate","",6.03124488292126,"Minnesota",2023-08-28
"RHT","ST","RED HAT, INC.",2018-04-12,"Sale","$1,001 - $15,000","MERRILL LYNCH INVESTMENT ACCOUNTS","","Lamar Smith",2018-05-08,"R"," TX21","House","",6.31503781392636,"Texas",2023-11-16
"USG","Stock","USG Corporation",2018-04-12,"Sale (Partial)","$1,001 - $15,000","","","Perdue, David",2018-05-01,"R","","Senate","",-128.400858992477,"Georgia",2023-08-28
"CGNT","Stock","Cogentix Medical, Inc.",2018-04-12,"Sale (Full)","$100,001 - $250,000","","","Smith, Tina",2018-04-20,"D","","Senate","",6.03124488292126,"Minnesota",2023-08-28
"GSK","ST","GLAXOSMITHKLINE PLC",2018-04-12,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2018-05-10,"R"," NC05","House","",-109.314182246572,"North Carolina",2023-11-16
"DUK","ST","DUKE ENERGY CORPORATION",2018-04-12,"Purchase","$15,001 - $50,000","","","Virginia Foxx",2018-05-10,"R"," NC05","House","",-68.0169722171576,"North Carolina",2023-11-16
"TEP","ST","TALLGRASS ENERGY PARTNERS, LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2018-04-11,"Sale","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",2.04796621534864,"Kansas",2023-11-16
"KMI","ST","KINDER MORGAN, INC.",2018-04-11,"Purchase","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",-79.3605953953671,"Kansas",2023-11-16
"VPU","ST","VANGUARD UTILITIES ETF",2018-04-11,"Purchase","$1,001 - $15,000","SP M92 (MERRILL LYNCH)","","K. Michael Conaway",2018-05-10,"R"," TX11","House","",-69.9471730385551,"Texas",2023-11-16
"DOV","ST","DOVER CORPORATION",2018-04-11,"Sale","$15,001 - $50,000"," LIVTR","","Richard W. Allen",2023-08-10,"R"," GA12","House","",-6.38629364936217,"Georgia",2023-11-16
"MSFT","ST","MICROSOFT CORPORATION",2018-04-11,"Purchase","$15,001 - $50,000","CHARLES SWABB ACCOUNT","","Bob Gibbs",2018-04-24,"R"," OH07","House","",259.301694124657,"Ohio",2023-11-16
"ETP","ST","ENERGY TRANSFER PARTNERS, L.P. COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2018-04-11,"Sale","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",20.3915427253011,"Kansas",2023-11-16
"TRGP","ST","TARGA RESOURCES, INC.",2018-04-11,"Purchase","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",38.1681025009294,"Kansas",2023-11-16
"OKE","ST","ONEOK, INC.",2018-04-11,"Purchase","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",-62.6640893280223,"Kansas",2023-11-16
"PYPL","ST","PAYPAL HOLDINGS, INC.",2018-04-11,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2018-10-02,"D"," NJ05","House","",-111.861713106295,"New Jersey",2023-11-16
"CVX","Stock","Chevron Corporation",2018-04-11,"Sale (Full)","$1,001 - $15,000","","","Roberts, Pat",2018-05-09,"R","","Senate","R",-63.5783242790661,"Kansas",2023-08-28
"EQM","ST","EQT MIDSTREAM PARTNERS, LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2018-04-11,"Sale","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",-82.6193935063904,"Kansas",2023-11-16
"CB","ST","CHUBB LIMITED",2018-04-11,"Sale","$1,001 - $15,000","MORGAN STANLEY IRA - X141","","Lois Frankel",2018-04-27,"D"," FL21","House","",-2.84298283334155,"Florida",2023-11-16
"NFLX","Stock","Netflix, Inc.",2018-04-11,"Sale (Full)","$50,001 - $100,000","","","Roberts, Pat",2018-05-09,"R","","Senate","seo",5.50063908587424,"Kansas",2023-08-28
"MMP","ST","MAGELLAN MIDSTREAM PARTNERS L.P. LIMITED PARTNERSHIP",2018-04-11,"Purchase","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",-54.4788690365176,"Kansas",2023-11-16
"SEP","ST","SPECTRA ENERGY PARTNERS, LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2018-04-11,"Sale","$1,001 - $15,000","","","Kevin Yoder",2018-05-09,"R"," KS03","House","",4.84504863053336,"Kansas",2023-11-16
"GMED","ST","GLOBUS MEDICAL, INC. CLASS A",2018-04-10,"Sale","$1,001 - $15,000","MORGAN STANLEY IRA - X142","","Lois Frankel",2018-04-27,"D"," FL21","House","",-90.1908844542991,"Florida",2023-11-16
"LW","ST","LAMB WESTON HOLDINGS, INC.",2018-04-10,"Sale","$15,001 - $50,000","PATRICK ROONEY SR 2015 DELAWARE TRUST","","Thomas J. Rooney",2018-05-14,"R"," FL17","House","",-32.9469766606657,"Florida",2023-11-16
"HES","ST","HESS CORPORATION",2018-04-10,"Sale","$1,001 - $15,000","MORGAN STANLEY IRA - X142","","Lois Frankel",2018-04-27,"D"," FL21","House","",87.9925389020056,"Florida",2023-11-16
"CBS","Stock","CBS Corporation",2018-04-10,"Sale (Full)","$1,001 - $15,000","","","Udall, Tom",2019-04-18,"D","","Senate","",-39.2563440216137,"New Mexico",2023-08-28
"CGNT","Stock","Cogentix Medical, Inc.",2018-04-10,"Sale (Partial)","$15,001 - $50,000","","","Smith, Tina",2018-04-20,"D","","Senate","",5.44661554570092,"Minnesota",2023-08-28
"HUBB","ST","HUBBELL INC",2018-04-10,"Sale","$1,001 - $15,000","WELCH ACCOUNT","","Peter Welch",2019-05-03,"D"," VT00","House","",139.012140247432,"Vermont",2023-11-16
"ERJ","ST","EMBRAER S.A.",2018-04-09,"Purchase","$1,001 - $15,000","","","Earl Blumenauer",2018-05-11,"D"," OR03","House","",-101.373765988792,"Oregon",2023-11-16
"LHCG","ST","LHC GROUP - COMMON STOCK",2018-04-09,"Sale","$250,001 - $500,000","","","John A. Yarmuth",2018-05-14,"D"," KY03","House","",90.7140413688891,"Kentucky",2023-11-16
"VLO","ST","VALERO ENERGY CORPORATION",2018-04-09,"Purchase","$1,001 - $15,000","TD AMERITRADE ANN IRA","","Gary Palmer",2018-09-29,"R"," AL06","House","",-25.6695556433053,"Alabama",2023-11-16
"CHL","ST","CHINA MOBILE LIMITED",2018-04-09,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2018-05-08,"D"," MA05","House","",-87.1731395300305,"Massachusetts",2023-11-16
"USG","Stock","USG Corporation",2018-04-09,"Sale (Partial)","$1,001 - $15,000","","","Perdue, David",2018-05-01,"R","","Senate","",-130.392441700964,"Georgia",2023-08-28
"VOD","ST","VODAFONE GROUP PLC - AMERICAN DEPOSITARY SHARES EACH REPRESENTING TEN ORDINARY SHARES",2018-04-09,"Purchase","$1,001 - $15,000","MORGAN STANLEY SMITH BARNEY LLC IRA","","Debbie Dingell",2018-04-18,"D"," MI12","House","",-165.706306996387,"Michigan",2023-11-16
"PM","ST","PHILIP MORRIS INTERNATIONAL INC",2018-04-09,"Purchase","$1,001 - $15,000","","","Robert J. Wittman",2018-05-08,"R"," VA01","House","",-102.557931119751,"Virginia",2023-11-16
"CHL","ST","CHINA MOBILE LIMITED",2018-04-09,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2018-05-08,"D"," MA05","House","",-87.1731395300305,"Massachusetts",2023-11-16
"RHT","ST","RED HAT, INC.",2018-04-09,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2018-10-02,"D"," NJ05","House","",10.2624735194679,"New Jersey",2023-11-16
"MIC","ST","MACQUARIE INFRASTRUCTURE CORPORATION",2018-04-09,"Purchase","$250,001 - $500,000","PATRICK ROONEY SR 2015 DELAWARE TRUST","","Thomas J. Rooney",2018-05-14,"R"," FL17","House","",-140.661053281376,"Florida",2023-11-16
"MDLZ","ST","MONDELEZ INTERNATIONAL, INC. - CLASS A",2018-04-06,"Sale","$1,001 - $15,000","UBS BROKERAGE ACCOUNT","","Carlos Curbelo",2018-08-02,"R"," FL26","House","",-26.4059506579418,"Florida",2023-11-16
"MCD","Stock","McDonald&#39;s Corporation",2018-04-06,"Purchase","$1,001 - $15,000","","","Capito, Shelley Moore",2018-05-14,"R","","Senate","",-23.8600004288223,"West Virginia",2023-08-28
"V","ST","VISA INC.",2018-04-06,"Purchase","$1,001 - $15,000","UBS BROKERAGE ACCOUNT","","Carlos Curbelo",2018-08-02,"R"," FL26","House","",43.5057079481445,"Florida",2023-11-16
"DPSGY","ST","DEUTSCHE POST AG SPONSORED ADR",2018-04-06,"Purchase","$1,001 - $15,000","THOMAS C MACARTHUR AND DEBORAH A MACARTHUR","","Thomas Macarthur",2018-05-10,"R"," NJ03","House","",NA,"New Jersey",2023-11-16
"INVESTMEN","OI","TROTT-ATA LLC",2018-04-06,"Purchase","$500,001 - $1,000,000","","PURCHASE OF MEMBERSHIP INTEREST IN TROTT-ATA LLC","David A. Trott",2018-05-04,"R"," MI11","House","",NA,"Michigan",2023-11-16
